PathX;-1499.09;-1339.53;-1196.5;-1069.99;-960.013;-866.556;-789.623;-729.215;-685.331;-657.971;-647.136;-629.484;-611.832;-594.18;-576.527;-558.875;-541.223;-523.571;-505.918;-488.266;-470.614;-452.962;-435.309;-417.657;-400.005;-382.353;-364.7;-347.048;-329.396;-311.744;-294.091;-276.439;-258.787;-241.135;-223.482;-205.83;-188.178;-170.526;-152.873;-135.221;-117.569;-99.9166;-82.2643;-64.6121;-46.9598;-29.3076;-11.6553;5.99692;23.6492;41.3014;58.9537;76.6059;94.2582;111.91;129.563;147.215;164.867;182.519;200.172;217.824;235.476;253.128;270.781;288.433;306.085;323.737;341.39;359.042;376.694;394.346;411.999;429.651;447.303;464.955;482.608;500.26;517.912;535.564;553.217;570.869;588.521;606.173;623.826;641.478;659.13;676.782;694.434;712.087;729.739;747.391;765.043;782.696;800.348;803.769;806.97;809.953;812.717;815.261;817.587;819.693;821.581;823.249;824.698;854.639;884.58;914.521;944.462;974.402;1004.34;1034.28;1064.22;1094.17;1124.11;1154.05;1183.99;1213.93;1243.87;1273.81;1303.75;1333.69;1363.63;1393.57;1423.51;1453.46;1483.4;1513.34;1543.28;1573.22;1603.16;1633.1;1663.04;1692.98;1722.92;1752.86;1782.8;1812.74;1842.69;1872.63;1902.57;1932.51;
PathY;1120;1020.26;930.653;851.169;781.812;722.581;673.477;634.499;605.648;586.923;578.324;554.068;529.811;505.554;481.297;457.04;432.783;408.526;384.269;360.012;335.755;311.498;287.241;262.984;238.728;214.471;190.214;165.957;141.7;117.443;93.1861;68.9291;44.6722;20.4153;-3.84162;-28.0985;-52.3554;-76.6124;-100.869;-125.126;-149.383;-173.64;-197.897;-222.154;-246.411;-270.668;-294.925;-319.182;-343.438;-367.695;-391.952;-416.209;-440.466;-464.723;-488.98;-513.237;-537.494;-561.751;-586.008;-610.265;-634.521;-658.778;-683.035;-707.292;-731.549;-755.806;-780.063;-804.32;-828.577;-852.833;-877.09;-901.347;-925.604;-949.861;-974.118;-998.375;-1022.63;-1046.89;-1071.15;-1095.4;-1119.66;-1143.92;-1168.17;-1192.43;-1216.69;-1240.94;-1265.2;-1289.46;-1313.72;-1337.97;-1362.23;-1386.49;-1410.74;-1415.35;-1419.46;-1423.08;-1426.2;-1428.83;-1430.97;-1432.61;-1433.76;-1434.42;-1434.58;-1432.7;-1430.81;-1428.93;-1427.05;-1425.16;-1423.28;-1421.39;-1419.51;-1417.63;-1415.74;-1413.86;-1411.98;-1410.09;-1408.21;-1406.33;-1404.44;-1402.56;-1400.68;-1398.79;-1396.91;-1395.03;-1393.14;-1391.26;-1389.38;-1387.49;-1385.61;-1383.73;-1381.84;-1379.96;-1378.08;-1376.19;-1374.31;-1372.43;-1370.54;-1368.66;-1366.78;-1364.89;
Angle;-0.558666;-0.559685;-0.560969;-0.562634;-0.564884;-0.568089;-0.573021;-0.581593;-0.600179;-0.670813;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941707;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941708;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.931849;-0.909092;-0.881258;-0.846507;-0.80198;-0.743132;-0.662438;-0.547117;-0.374766;-0.111646;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;
Speed;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;
PathX;-1499.09;-1339.53;-1196.5;-1069.99;-960.013;-866.556;-789.623;-729.215;-685.331;-657.971;-647.136;-629.484;-611.832;-594.18;-576.527;-558.875;-541.223;-523.571;-505.918;-488.266;-470.614;-452.962;-435.309;-417.657;-400.005;-382.353;-364.7;-347.048;-329.396;-311.744;-294.091;-276.439;-258.787;-241.135;-223.482;-205.83;-188.178;-170.526;-152.873;-135.221;-117.569;-99.9166;-82.2643;-64.6121;-46.9598;-29.3076;-11.6553;5.99692;23.6492;41.3014;58.9537;76.6059;94.2582;111.91;129.563;147.215;164.867;182.519;200.172;217.824;235.476;253.128;270.781;288.433;306.085;323.737;341.39;359.042;376.694;394.346;411.999;429.651;447.303;464.955;482.608;500.26;517.912;535.564;553.217;570.869;588.521;606.173;623.826;641.478;659.13;676.782;694.434;712.087;729.739;747.391;765.043;782.696;800.348;803.769;806.97;809.953;812.717;815.261;817.587;819.693;821.581;823.249;824.698;854.639;884.58;914.521;944.462;974.402;1004.34;1034.28;1064.22;1094.17;1124.11;1154.05;1183.99;1213.93;1243.87;1273.81;1303.75;1333.69;1363.63;1393.57;1423.51;1453.46;1483.4;1513.34;1543.28;1573.22;1603.16;1633.1;1663.04;1692.98;1722.92;1752.86;1782.8;1812.74;1842.69;1872.63;1902.57;1932.51;
PathY;1120;1020.26;930.653;851.169;781.812;722.581;673.477;634.499;605.648;586.923;578.324;554.068;529.811;505.554;481.297;457.04;432.783;408.526;384.269;360.012;335.755;311.498;287.241;262.984;238.728;214.471;190.214;165.957;141.7;117.443;93.1861;68.9291;44.6722;20.4153;-3.84162;-28.0985;-52.3554;-76.6124;-100.869;-125.126;-149.383;-173.64;-197.897;-222.154;-246.411;-270.668;-294.925;-319.182;-343.438;-367.695;-391.952;-416.209;-440.466;-464.723;-488.98;-513.237;-537.494;-561.751;-586.008;-610.265;-634.521;-658.778;-683.035;-707.292;-731.549;-755.806;-780.063;-804.32;-828.577;-852.833;-877.09;-901.347;-925.604;-949.861;-974.118;-998.375;-1022.63;-1046.89;-1071.15;-1095.4;-1119.66;-1143.92;-1168.17;-1192.43;-1216.69;-1240.94;-1265.2;-1289.46;-1313.72;-1337.97;-1362.23;-1386.49;-1410.74;-1415.35;-1419.46;-1423.08;-1426.2;-1428.83;-1430.97;-1432.61;-1433.76;-1434.42;-1434.58;-1432.7;-1430.81;-1428.93;-1427.05;-1425.16;-1423.28;-1421.39;-1419.51;-1417.63;-1415.74;-1413.86;-1411.98;-1410.09;-1408.21;-1406.33;-1404.44;-1402.56;-1400.68;-1398.79;-1396.91;-1395.03;-1393.14;-1391.26;-1389.38;-1387.49;-1385.61;-1383.73;-1381.84;-1379.96;-1378.08;-1376.19;-1374.31;-1372.43;-1370.54;-1368.66;-1366.78;-1364.89;
Angle;-0.558666;-0.559685;-0.560969;-0.562634;-0.564884;-0.568089;-0.573021;-0.581593;-0.600179;-0.670813;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941707;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941708;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941707;-0.941708;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.941709;-0.931849;-0.909092;-0.881258;-0.846507;-0.80198;-0.743132;-0.662438;-0.547117;-0.374766;-0.111646;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;0.0628221;
Speed;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;
PathX;-1499.09;-1339.53;-1196.5;-1069.99;-960.013;-866.556;-789.623;-729.215;-685.331;-657.971;-647.136;-629.484;-611.832;-594.18;-576.527;-558.875;-541.223;-523.571;-505.918;-488.266;-470.614;-452.962;-435.309;-417.657;-400.005;-382.353;-364.7;-347.048;-329.396;-311.744;-294.091;-276.439;-258.787;-241.135;-223.482;-205.83;-188.178;-170.526;-152.873;-135.221;-117.569;-99.9166;-82.2643;-64.6121;-46.9598;-29.3076;-11.6553;5.99692;23.6492;41.3014;58.9537;76.6059;94.2582;111.91;129.563;147.215;164.867;182.519;200.172;217.824;235.476;253.128;270.781;288.433;306.085;323.737;341.39;359.042;376.694;394.346;411.999;429.651;447.303;464.955;482.608;500.26;517.912;535.564;553.217;570.869;588.521;606.173;623.826;641.478;659.13;676.782;694.434;712.087;729.739;747.391;765.043;782.696;800.348;803.769;806.97;809.953;812.717;815.261;817.587;819.693;821.581;823.249;824.698;854.639;884.58;914.521;944.462;974.402;1004.34;1034.28;1064.22;1094.17;1124.11;1154.05;1183.99;1213.93;1243.87;1273.81;1303.75;1333.69;1363.63;1393.57;1423.51;1453.46;1483.4;1513.34;1543.28;1573.22;1603.16;1633.1;1663.04;1692.98;1722.92;1752.86;1782.8;1812.74;1842.69;1872.63;1902.57;1932.51;
PathY;1120;1020.26;930.653;851.169;781.812;722.581;673.477;634.499;605.648;586.923;578.324;554.068;529.811;505.554;481.297;457.04;432.783;408.526;384.269;360.012;335.755;311.498;287.241;262.984;238.728;214.471;190.214;165.957;141.7;117.443;93.1861;68.9291;44.6722;20.4153;-3.84162;-28.0985;-52.3554;-76.6124;-100.869;-125.126;-149.383;-173.64;-197.897;-222.154;-246.411;-270.668;-294.925;-319.182;-343.438;-367.695;-391.952;-416.209;-440.466;-464.723;-488.98;-513.237;-537.494;-561.751;-586.008;-610.265;-634.521;-658.778;-683.035;-707.292;-731.549;-755.806;-780.063;-804.32;-828.577;-852.833;-877.09;-901.347;-925.604;-949.861;-974.118;-998.375;-1022.63;-1046.89;-1071.15;-1095.4;-1119.66;-1143.92;-1168.17;-1192.43;-1216.69;-1240.94;-1265.2;-1289.46;-1313.72;-1337.97;-1362.23;-1386.49;-1410.74;-1415.35;-1419.46;-1423.08;-1426.2;-1428.83;-1430.97;-1432.61;-1433.76;-1434.42;-1434.58;-1432.7;-1430.81;-1428.93;-1427.05;-1425.16;-1423.28;-1421.39;-1419.51;-1417.63;-1415.74;-1413.86;-1411.98;-1410.09;-1408.21;-1406.33;-1404.44;-1402.56;-1400.68;-1398.79;-1396.91;-1395.03;-1393.14;-1391.26;-1389.38;-1387.49;-1385.61;-1383.73;-1381.84;-1379.96;-1378.08;-1376.19;-1374.31;-1372.43;-1370.54;-1368.66;-1366.78;-1364.89;
