RoboDragons,Timestamp,PlaceX,PlaceY,BallX,BallY
0,1562407197.625004,-3.633343505859375,0.6976619873046875,-0.5850550537109375,-2.35380078125
1,1562407197.627153,-3.633343505859375,0.6976619873046875,-0.5850550537109375,-2.35380078125
2,1562407197.627177,-3.633343505859375,0.6976619873046875,-0.5397297973632813,-2.35243994140625
3,1562407197.633167,-3.633343505859375,0.6976619873046875,-0.5397297973632813,-2.35243994140625
4,1562407197.63318,-3.633343505859375,0.6976619873046875,-0.5886692504882812,-2.349822265625
5,1562407197.64249,-3.633343505859375,0.6976619873046875,-0.5886692504882812,-2.349822265625
6,1562407197.642503,-3.633343505859375,0.6976619873046875,-0.5492426147460937,-2.347135986328125
7,1562407197.646292,-3.633343505859375,0.6976619873046875,-0.5492426147460937,-2.347135986328125
8,1562407197.64631,-3.633343505859375,0.6976619873046875,-0.5991439208984375,-2.343388916015625
9,1562407197.650158,-3.633343505859375,0.6976619873046875,-0.5991439208984375,-2.343388916015625
10,1562407197.656404,-3.633343505859375,0.6976619873046875,-0.5991439208984375,-2.343388916015625
11,1562407197.656428,-3.633343505859375,0.6976619873046875,-0.5544191284179687,-2.34383447265625
12,1562407197.659384,-3.633343505859375,0.6976619873046875,-0.5544191284179687,-2.34383447265625
13,1562407197.659409,-3.633343505859375,0.6976619873046875,-0.6057861328125,-2.3409150390625
14,1562407197.666524,-3.633343505859375,0.6976619873046875,-0.6057861328125,-2.3409150390625
15,1562407197.666546,-3.633343505859375,0.6976619873046875,-0.5629715576171875,-2.337773193359375
16,1562407197.673438,-3.633343505859375,0.6976619873046875,-0.5629715576171875,-2.337773193359375
17,1562407197.673467,-3.633343505859375,0.6976619873046875,-0.6098252563476563,-2.333107177734375
18,1562407197.675427,-3.633343505859375,0.6976619873046875,-0.6098252563476563,-2.333107177734375
19,1562407197.679483,-3.633343505859375,0.6976619873046875,-0.6098252563476563,-2.333107177734375
20,1562407197.679497,-3.633343505859375,0.6976619873046875,-0.5660418090820313,-2.33130029296875
21,1562407197.688292,-3.633343505859375,0.6976619873046875,-0.5660418090820313,-2.33130029296875
22,1562407197.688308,-3.633343505859375,0.6976619873046875,-0.6188507690429688,-2.32801171875
23,1562407197.692626,-3.633343505859375,0.6976619873046875,-0.6188507690429688,-2.32801171875
24,1562407197.692642,-3.633343505859375,0.6976619873046875,-0.5757503662109374,-2.325521728515625
25,1562407197.700631,-3.633343505859375,0.6976619873046875,-0.5757503662109374,-2.325521728515625
26,1562407197.702179,-3.633343505859375,0.6976619873046875,-0.5757503662109374,-2.325521728515625
27,1562407197.702196,-3.633343505859375,0.6976619873046875,-0.627011962890625,-2.322328857421875
28,1562407197.707819,-3.633343505859375,0.6976619873046875,-0.627011962890625,-2.322328857421875
29,1562407197.707833,-3.633343505859375,0.6976619873046875,-0.5822584228515625,-2.321294921875
30,1562407197.714657,-3.633343505859375,0.6976619873046875,-0.5822584228515625,-2.321294921875
31,1562407197.714672,-3.633343505859375,0.6976619873046875,-0.630383056640625,-2.318968017578125
32,1562407197.72308,-3.633343505859375,0.6976619873046875,-0.630383056640625,-2.318968017578125
33,1562407197.723094,-3.633343505859375,0.6976619873046875,-0.5877882690429688,-2.315924072265625
34,1562407197.725865,-3.633343505859375,0.6976619873046875,-0.5877882690429688,-2.315924072265625
35,1562407197.728457,-3.633343505859375,0.6976619873046875,-0.5877882690429688,-2.315924072265625
36,1562407197.728481,-3.633343505859375,0.6976619873046875,-0.63702001953125,-2.313819091796875
37,1562407197.737773,-3.633343505859375,0.6976619873046875,-0.63702001953125,-2.313819091796875
38,1562407197.73778,-3.633343505859375,0.6976619873046875,-0.59283056640625,-2.31215087890625
39,1562407197.741148,-3.633343505859375,0.6976619873046875,-0.59283056640625,-2.31215087890625
40,1562407197.741165,-3.633343505859375,0.6976619873046875,-0.6437613525390625,-2.30783984375
41,1562407197.750693,-3.633343505859375,0.6976619873046875,-0.59970947265625,-2.3091064453125
42,1562407197.750717,-3.633343505859375,0.6976619873046875,-0.59970947265625,-2.3091064453125
43,1562407197.750988,-3.633343505859375,0.6976619873046875,-0.59970947265625,-2.3091064453125
44,1562407197.760022,-3.633343505859375,0.6976619873046875,-0.59970947265625,-2.3091064453125
45,1562407197.760034,-3.633343505859375,0.6976619873046875,-0.6496769409179688,-2.30340380859375
46,1562407197.761533,-3.633343505859375,0.6976619873046875,-0.6496769409179688,-2.30340380859375
47,1562407197.761543,-3.633343505859375,0.6976619873046875,-0.6077353515625,-2.303
48,1562407197.774392,-3.633343505859375,0.6976619873046875,-0.6077353515625,-2.303
49,1562407197.774405,-3.633343505859375,0.6976619873046875,-0.6572066650390626,-2.298006591796875
50,1562407197.774805,-3.633343505859375,0.6976619873046875,-0.6572066650390626,-2.298006591796875
51,1562407197.774816,-3.633343505859375,0.6976619873046875,-0.610836181640625,-2.29732080078125
52,1562407197.776192,-3.633343505859375,0.6976619873046875,-0.610836181640625,-2.29732080078125
53,1562407197.78608,-3.633343505859375,0.6976619873046875,-0.610836181640625,-2.29732080078125
54,1562407197.786087,-3.633343505859375,0.6976619873046875,-0.6635623779296875,-2.293123291015625
55,1562407197.790465,-3.633343505859375,0.6976619873046875,-0.6635623779296875,-2.293123291015625
56,1562407197.790497,-3.633343505859375,0.6976619873046875,-0.6206815185546875,-2.292076171875
57,1562407197.796994,-3.633343505859375,0.6976619873046875,-0.6206815185546875,-2.292076171875
58,1562407197.797011,-3.633343505859375,0.6976619873046875,-0.669569580078125,-2.28827734375
