TIGERs Mannheim,Timestamp,PlaceX,PlaceY,BallX,BallY
0,1562407092.40016,-3.2217939453125,-0.07009369659423828,-4.092407470703125,0.1190291519165039
1,1562407092.406987,-3.2217939453125,-0.07009369659423828,-4.1033193359375,0.1266574172973633
2,1562407092.407013,-3.2217939453125,-0.07009369659423828,-4.1033193359375,0.1266574172973633
3,1562407092.407046,-3.2217939453125,-0.07009369659423828,-4.1033193359375,0.1266574172973633
4,1562407092.407069,-3.2217939453125,-0.07009369659423828,-4.1033193359375,0.1266574172973633
5,1562407092.420615,-3.2217939453125,-0.07009369659423828,-4.1033193359375,0.1266574172973633
6,1562407092.420654,-3.2217939453125,-0.07009369659423828,-4.11338037109375,0.13625979614257813
7,1562407092.421488,-3.2217939453125,-0.07009369659423828,-4.11338037109375,0.13625979614257813
8,1562407092.421496,-3.2217939453125,-0.07009369659423828,-4.11338037109375,0.13625979614257813
9,1562407092.425427,-3.2217939453125,-0.07009369659423828,-4.11338037109375,0.13625979614257813
10,1562407092.433605,-3.2217939453125,-0.07009369659423828,-4.11338037109375,0.13625979614257813
11,1562407092.433626,-3.2217939453125,-0.07009369659423828,-4.11338037109375,0.13625979614257813
12,1562407092.43612,-3.2217939453125,-0.07009369659423828,-4.11338037109375,0.13625979614257813
13,1562407092.436163,-3.2217939453125,-0.07009369659423828,-4.1265302734375,0.1435146484375
14,1562407092.44507,-3.2217939453125,-0.07009369659423828,-4.1265302734375,0.1435146484375
15,1562407092.445108,-3.2217939453125,-0.07009369659423828,-4.1265302734375,0.1435146484375
16,1562407092.44914,-3.2217939453125,-0.07009369659423828,-4.1265302734375,0.1435146484375
17,1562407092.449165,-3.2217939453125,-0.07009369659423828,-4.138212890625,0.1512349853515625
18,1562407092.450634,-3.2217939453125,-0.07009369659423828,-4.138212890625,0.1512349853515625
19,1562407092.456896,-3.2217939453125,-0.07009369659423828,-4.138212890625,0.1512349853515625
20,1562407092.456924,-3.2217939453125,-0.07009369659423828,-4.138212890625,0.1512349853515625
21,1562407092.462842,-3.2217939453125,-0.07009369659423828,-4.138212890625,0.1512349853515625
22,1562407092.462887,-3.2217939453125,-0.07009369659423828,-4.150119140625,0.15836862182617187
23,1562407092.46828,-3.2217939453125,-0.07009369659423828,-4.150119140625,0.15836862182617187
24,1562407092.468309,-3.2217939453125,-0.07009369659423828,-4.150119140625,0.15836862182617187
25,1562407092.475859,-3.2217939453125,-0.07009369659423828,-4.150119140625,0.15836862182617187
26,1562407092.476022,-3.2217939453125,-0.07009369659423828,-4.16108447265625,0.16785043334960936
27,1562407092.476042,-3.2217939453125,-0.07009369659423828,-4.16108447265625,0.16785043334960936
28,1562407092.482479,-3.2217939453125,-0.07009369659423828,-4.16108447265625,0.16785043334960936
29,1562407092.482479,-3.2217939453125,-0.07009369659423828,-4.16108447265625,0.16785043334960936
30,1562407092.48885,-3.2217939453125,-0.07009369659423828,-4.16108447265625,0.16785043334960936
31,1562407092.488863,-3.2217939453125,-0.07009369659423828,-4.1714248046875,0.17463475036621093
32,1562407092.500294,-3.2217939453125,-0.07009369659423828,-4.1714248046875,0.17463475036621093
33,1562407092.500323,-3.2217939453125,-0.07009369659423828,-4.1714248046875,0.17463475036621093
34,1562407092.501093,-3.2217939453125,-0.07009369659423828,-4.1714248046875,0.17463475036621093
35,1562407092.503319,-3.2217939453125,-0.07009369659423828,-4.1714248046875,0.17463475036621093
36,1562407092.503345,-3.2217939453125,-0.07009369659423828,-4.1845966796875,0.1835346221923828
37,1562407092.513032,-3.2217939453125,-0.07009369659423828,-4.1845966796875,0.1835346221923828
38,1562407092.513066,-3.2217939453125,-0.07009369659423828,-4.1845966796875,0.1835346221923828
39,1562407092.517306,-3.2217939453125,-0.07009369659423828,-4.1845966796875,0.1835346221923828
40,1562407092.517337,-3.2217939453125,-0.07009369659423828,-4.19430126953125,0.19025738525390626
41,1562407092.526332,-3.2217939453125,-0.07009369659423828,-4.19430126953125,0.19025738525390626
42,1562407092.527013,-3.2217939453125,-0.07009369659423828,-4.19430126953125,0.19025738525390626
43,1562407092.527041,-3.2217939453125,-0.07009369659423828,-4.19430126953125,0.19025738525390626
44,1562407092.530781,-3.2217939453125,-0.07009369659423828,-4.19430126953125,0.19025738525390626
45,1562407092.530824,-3.2217939453125,-0.07009369659423828,-4.20781591796875,0.19811940002441406
46,1562407092.541714,-3.2217939453125,-0.07009369659423828,-4.20781591796875,0.19811940002441406
47,1562407092.541749,-3.2217939453125,-0.07009369659423828,-4.20781591796875,0.19811940002441406
48,1562407092.544382,-3.2217939453125,-0.07009369659423828,-4.20781591796875,0.19811940002441406
49,1562407092.544403,-3.2217939453125,-0.07009369659423828,-4.2188095703125,0.20859133911132813
50,1562407092.55155,-3.2217939453125,-0.07009369659423828,-4.2188095703125,0.20859133911132813
51,1562407092.551694,-3.2217939453125,-0.07009369659423828,-4.2188095703125,0.20859133911132813
52,1562407092.551716,-3.2217939453125,-0.07009369659423828,-4.2188095703125,0.20859133911132813
53,1562407092.557712,-3.2217939453125,-0.07009369659423828,-4.2188095703125,0.20859133911132813
54,1562407092.557732,-3.2217939453125,-0.07009369659423828,-4.23133154296875,0.21403555297851562
55,1562407092.565284,-3.2217939453125,-0.07009369659423828,-4.23133154296875,0.21403555297851562
56,1562407092.565322,-3.2217939453125,-0.07009369659423828,-4.23133154296875,0.21403555297851562
57,1562407092.570877,-3.2217939453125,-0.07009369659423828,-4.23133154296875,0.21403555297851562
58,1562407092.570916,-3.2217939453125,-0.07009369659423828,-4.24255322265625,0.22141592407226562
59,1562407092.576752,-3.2217939453125,-0.07009369659423828,-4.24255322265625,0.22141592407226562
60,1562407092.580946,-3.2217939453125,-0.07009369659423828,-4.24255322265625,0.22141592407226562
61,1562407092.580968,-3.2217939453125,-0.07009369659423828,-4.24255322265625,0.22141592407226562
62,1562407092.58442,-3.2217939453125,-0.07009369659423828,-4.24255322265625,0.22141592407226562
63,1562407092.584448,-3.2217939453125,-0.07009369659423828,-4.252357421875,0.2298458251953125
64,1562407092.595938,-3.2217939453125,-0.07009369659423828,-4.252357421875,0.2298458251953125
65,1562407092.595963,-3.2217939453125,-0.07009369659423828,-4.252357421875,0.2298458251953125
66,1562407092.599829,-3.2217939453125,-0.07009369659423828,-4.252357421875,0.2298458251953125
67,1562407092.599849,-3.2217939453125,-0.07009369659423828,-4.2625546875,0.2371066131591797
68,1562407092.601966,-3.2217939453125,-0.07009369659423828,-4.2625546875,0.2371066131591797
69,1562407092.609312,-3.2217939453125,-0.07009369659423828,-4.2625546875,0.2371066131591797
70,1562407092.609321,-3.2217939453125,-0.07009369659423828,-4.2625546875,0.2371066131591797
71,1562407092.613107,-3.2217939453125,-0.07009369659423828,-4.2625546875,0.2371066131591797
